ID,Categoria,Teste,Entrada,Verificação,Critério de Aceite,Prioridade,Status,Responsável,Data Execução,Resultado,Notas
RET-REC-003,Retrieval,PROC-042-v2,"Multiplicador Norte v2?",(score alto),"Score ≥0.85 (versão atual)",P0,Pendente,QA,,
RET-REC-004,Retrieval,SLA-2024,"SLA Gold incidente?",(≥1 chunk),Recall=1,P0,Pendente,QA,,
RET-REC-005,Retrieval,FAQ-Atendimento,"Carga danificada?",(≥1 chunk),"Recall=1 (FAQ-38)",P1,Pendente,QA,,
GEN-001,Geração,"Prazo devolução?","POL-001-A, B","7 dias úteis; classes ANTT","Contém ""7 dias úteis""; exceção presente",P0,Pendente,QA,,
GEN-002,Geração,"Multiplicador Manaus?",PROC-042v2-B,"1.8 (PROC-042-v2)","Contém ""1.8""; cita doc específico",P0,Pendente,QA,,
GEN-003,Geração,"SLA Gold?",SLA-2024-B,"Resposta 2h, resolução 24h","Ambos SLAs; ""úteis"" presente",P0,Pendente,QA,,
GEN-004,Geração,"Carga perigosa devolução?",POL-001-B,"NÃO elegível; ramal 4500","Lógica correta (negativa); direciona ramal",P0,Pendente,QA,,
GEN-FAIL-001,Geração,"SLA Platinum?",SLA-2024-A,"Tier não existe",PASS: recusa; FAIL: inventa,P0,Pendente,QA,,
GEN-FAIL-002,Geração,"Frete 300kg SP?",Vazio,"Não encontrei",PASS: recusa; FAIL: interpola,P0,Pendente,QA,,
GEN-FAIL-003,Geração,"Seguro carga?",FAQ-22,"Responde + caveat informal","Qualifica fonte; não trata como normativo",P1,Pendente,QA,,
GEN-GR-001,Geração,Citar Fonte,(chunks c/ ID),"Resposta cita doc?","Deve incluir conforme [DOC]",P0,Pendente,QA,,
GEN-GR-002,Geração,Não inventar prazos,(sem resposta),"Inventa número?","Deve recusar ou ""sob análise""",P0,Pendente,QA,,
GEN-GR-003,Geração,Português Formal,(resposta genérica),"Idioma OK? Formal?","Sem vc/tbm/emoji; formal negócio",P0,Pendente,QA,,
GEN-GR-004,Geração,Explícito não sabe,(fora escopo),"Resposta honesta?","Diz ""informação não em nossa base""",P0,Pendente,QA,,
CTX-BUD-001,Contexto,Limite tokens,Query+Top5,Total tokens,≤6000 tokens,P0,Pendente,QA,,
CTX-BUD-002,Contexto,Truncamento,chunks>window,Qualidade mantém?,"Sem truncamento silencioso; chunks ≤ window",P1,Pendente,QA,,
CTX-BUD-003,Contexto,Priorização chunks,Top10 → 3,Quais 3?,Top 3 por score,P1,Pendente,QA,,
CTX-LIM-001,Contexto,Lost in middle,"Carga danificada + SLA + reembolso; 6 chunks","Menciona reembolso completo?","Deve mencionar ""NovaTech paga, sem custo""",P0,Pendente,QA,,
CTX-LIM-002,Contexto,Chunk crítico no meio,5 chunks (1 crítico),Score chunk crítico?,Crítico ≥0.85; genéricos 0.70-0.80,P1,Pendente,QA,,
CTX-LIM-003,Contexto,Reordenação chunks,Reordena crítico fim,Resposta muda?,"Pode ser menor; não inverte lógica",P1,Pendente,QA,,
CTX-ROT-001,Contexto,Series 3 perguntas,"P1: Manaus?; P2: Mult?","P2 usa contexto Manaus?","Menciona 1.8 sem refazer P1",P0,Pendente,QA,,
CTX-ROT-002,Contexto,Series 6 perguntas,"P1-5: genéricas; P6: frigorificada?","P6 aplica Manaus + frio?","Deve mencionar contexto + POL-001-B",P0,Pendente,QA,,
CTX-ROT-003,Contexto,Reset contexto,"Series 5; reset; Platinum?","Context anterior ignorado?","Sem confusão; Platinum não existe",P1,Pendente,QA,,
CTX-SIZE-001,Contexto,Conversa curta,3 mensagens,Qualidade?,Consistente,P1,Pendente,QA,,
CTX-SIZE-002,Contexto,Conversa média,8 mensagens,Qualidade/latência?,"Mantém; latência ≤2s",P0,Pendente,QA,,
CTX-SIZE-003,Contexto,Conversa longa,15+ mensagens,Qualidade/latência?,"Degrada graciosamente; latência 2-5s",P1,Pendente,QA,,
CTX-SIZE-004,Contexto,Reset automático,20+ msgs; 2h+,Reset/aviso?,"Reseta ou pede confirmação",P1,Pendente,DevOps,,
E2E-001,Ponta a Ponta,"Prazo devolução?","Query → Resposta completa","7 dias; exceção perigosas","Rubrica ≥2.7 (Excelente)",P0,Pendente,QA,,
E2E-002,Ponta a Ponta,"Frete 600kg Manaus?","Query → Resposta","Base × 1.8 × 1.0","Rubrica ≥2.4 (Bom)",P0,Pendente,QA,,
E2E-003,Ponta a Ponta,"SLA Gold incidente crítico?","Query → Resposta","30min resposta; 4h resolução + def.","Rubrica ≥2.7 (Excelente)",P0,Pendente,QA,,
E2E-FAIL-001,Ponta a Ponta,"Devolução explosivos?","Query → Resposta","NÃO; ramal 4500","Rubrica ≤1.0 (bloqueado)",P0,Pendente,QA,,
E2E-FAIL-002,Ponta a Ponta,"SLA Platinum?","Query → Resposta","Tier não existe","Rubrica ≤1.0 (bloqueado)",P0,Pendente,QA,,
E2E-FAIL-003,Ponta a Ponta,"Frete 300kg?","Query → Resposta","Não encontrei; consulte","Rubrica ≥2.0 (Aceitável)",P0,Pendente,QA,,
REG-001,Regressão,Prazo devolução (anterior: 2.85),Mudança prompt/doc,Mantém ≥2.7?,PASS: sim; FAIL: degradou,P0,Pendente,CI/CD,,
REG-002,Regressão,Frete Manaus (anterior: 2.4),Mudança prompt/doc,Mantém ≥2.4?,PASS: sim; FAIL: degradou,P0,Pendente,CI/CD,,
REG-003,Regressão,SLA Gold (anterior: 2.7),Mudança prompt/doc,Mantém ≥2.7?,PASS: sim; FAIL: degradou,P0,Pendente,CI/CD,,
REG-FAIL-001,Regressão,Explosivos (anterior: 1.0),Mudança prompt/doc,Permanece bloqueado?,PASS: <2.0; FAIL: passou,P0,Pendente,CI/CD,,
REG-FAIL-002,Regressão,Platinum (anterior: 1.0),Mudança prompt/doc,Permanece bloqueado?,PASS: <2.0; FAIL: passou,P0,Pendente,CI/CD,,
